iter	Passed	Remaining
0	51	25523
1	52	12995
2	55	9266
3	57	7090
4	60	6024
5	64	5324
6	68	4798
7	69	4276
8	73	4020
9	77	3817
10	81	3634
11	85	3473
12	89	3357
13	92	3228
14	96	3134
15	100	3025
16	104	2956
17	108	2899
18	108	2749
19	112	2690
20	113	2600
21	117	2553
22	121	2510
23	124	2476
24	125	2380
25	128	2351
26	132	2319
27	136	2297
28	140	2276
29	140	2204
30	144	2187
31	147	2160
32	151	2149
33	156	2146
34	161	2139
35	162	2090
36	163	2049
37	166	2030
38	170	2018
39	174	2007
40	176	1976
41	180	1964
42	183	1954
43	187	1943
44	191	1932
45	194	1922
46	198	1914
47	203	1915
48	207	1910
49	213	1920
50	214	1886
51	218	1884
52	222	1876
53	226	1870
54	230	1864
55	234	1857
56	234	1824
57	238	1819
58	242	1810
59	246	1807
60	251	1810
61	255	1801
62	258	1793
63	262	1785
64	266	1784
65	270	1781
66	275	1779
67	278	1771
68	282	1766
69	286	1760
70	287	1734
71	287	1711
72	291	1703
73	295	1699
74	298	1693
75	302	1688
76	306	1683
77	310	1680
78	314	1676
79	315	1656
80	319	1653
81	323	1646
82	326	1640
83	330	1635
84	333	1630
85	334	1611
86	338	1605
87	340	1592
88	343	1586
89	347	1581
90	350	1576
91	354	1570
92	357	1564
93	361	1559
94	364	1555
95	368	1548
96	371	1544
97	375	1540
98	376	1525
99	379	1519
100	383	1514
101	385	1505
102	389	1500
103	393	1497
104	396	1492
105	400	1488
106	403	1482
107	405	1471
108	409	1467
109	413	1464
110	417	1461
111	420	1457
112	424	1452
113	427	1447
114	431	1444
115	435	1442
116	439	1440
117	444	1438
118	448	1435
119	452	1433
120	454	1423
121	457	1418
122	461	1415
123	466	1413
124	470	1411
125	474	1406
126	477	1403
127	481	1400
128	486	1397
129	490	1395
130	494	1391
131	498	1390
132	503	1389
133	507	1385
134	511	1381
135	515	1379
136	519	1376
137	523	1374
138	527	1370
139	531	1367
140	535	1364
141	539	1359
142	541	1351
143	544	1346
144	548	1343
145	552	1340
146	554	1331
147	558	1328
148	562	1325
149	566	1320
150	569	1316
151	573	1312
152	577	1308
153	581	1305
154	585	1302
155	588	1298
156	592	1294
157	594	1287
158	598	1283
159	602	1280
160	606	1276
161	610	1273
162	614	1269
163	618	1266
164	621	1262
165	625	1258
166	629	1254
167	633	1250
168	636	1246
169	640	1243
170	644	1239
171	647	1234
172	651	1231
173	654	1226
174	658	1222
175	662	1218
176	665	1214
177	669	1210
178	672	1206
179	676	1202
180	679	1198
181	683	1194
182	687	1190
183	690	1186
184	694	1183
185	698	1179
186	701	1174
187	705	1170
188	708	1166
189	712	1161
190	715	1158
191	719	1154
192	723	1150
193	726	1145
194	729	1141
195	733	1137
196	737	1133
197	740	1129
198	744	1126
199	748	1122
200	751	1118
201	755	1115
202	759	1111
203	763	1107
204	766	1103
205	770	1100
206	774	1096
207	778	1092
208	782	1089
209	786	1085
210	790	1082
211	794	1079
212	798	1075
213	801	1071
214	805	1067
215	810	1065
216	814	1062
217	818	1059
218	822	1055
219	826	1052
220	830	1048
221	834	1044
222	838	1041
223	843	1039
224	848	1037
225	853	1034
226	856	1030
227	860	1026
228	864	1022
229	867	1018
230	870	1014
231	874	1009
232	878	1006
233	882	1003
234	886	999
235	889	995
236	893	991
237	896	987
238	901	983
239	904	979
240	908	976
241	912	972
242	916	969
243	919	964
244	922	960
245	926	956
246	930	952
247	935	950
248	940	947
249	944	944
250	947	940
251	951	936
252	955	933
253	960	929
254	963	926
255	967	922
256	972	919
257	976	916
258	980	912
259	984	908
260	988	905
261	992	901
262	996	898
263	1000	894
264	1004	890
265	1008	886
266	1011	883
267	1015	879
268	1019	875
269	1022	871
270	1026	867
271	1029	863
272	1033	859
273	1037	855
274	1041	852
275	1045	848
276	1048	844
277	1052	840
278	1056	836
279	1059	832
280	1063	828
281	1066	824
282	1070	820
283	1074	817
284	1077	813
285	1081	809
286	1085	805
287	1088	801
288	1092	797
289	1095	793
290	1099	789
291	1103	785
292	1106	781
293	1110	777
294	1113	774
295	1117	770
296	1120	766
297	1124	762
298	1128	758
299	1133	755
300	1137	752
301	1142	748
302	1146	745
303	1150	741
304	1154	738
305	1158	734
306	1162	730
307	1165	726
308	1170	723
309	1172	718
310	1176	714
311	1180	711
312	1181	706
313	1186	702
314	1190	699
315	1192	694
316	1195	690
317	1200	686
318	1203	683
319	1207	679
320	1210	675
321	1214	671
322	1218	667
323	1221	663
324	1225	659
325	1229	656
326	1232	652
327	1236	648
328	1240	644
329	1243	640
330	1246	636
331	1250	632
332	1253	628
333	1257	625
334	1261	621
335	1265	617
336	1268	613
337	1272	609
338	1275	605
339	1279	601
340	1282	598
341	1286	594
342	1290	590
343	1293	586
344	1297	582
345	1301	579
346	1304	575
347	1308	571
348	1311	567
349	1315	563
350	1318	559
351	1321	555
352	1325	551
353	1328	548
354	1332	544
355	1336	540
356	1340	536
357	1343	533
358	1348	529
359	1351	525
360	1355	521
361	1359	518
362	1363	514
363	1367	510
364	1371	507
365	1374	503
366	1378	499
367	1382	495
368	1386	492
369	1391	488
370	1395	485
371	1398	481
372	1402	477
373	1406	473
374	1410	470
375	1414	466
376	1418	462
377	1421	458
378	1425	455
379	1429	451
380	1432	447
381	1436	443
382	1440	440
383	1444	436
384	1448	432
385	1452	428
386	1456	425
387	1459	421
388	1463	417
389	1466	413
390	1470	409
391	1474	406
392	1477	402
393	1481	398
394	1484	394
395	1488	390
396	1491	387
397	1494	383
398	1498	379
399	1503	375
400	1506	372
401	1510	368
402	1514	364
403	1518	360
404	1522	357
405	1526	353
406	1532	350
407	1535	346
408	1539	342
409	1543	338
410	1547	335
411	1551	331
412	1555	327
413	1558	323
414	1562	320
415	1566	316
416	1570	312
417	1573	308
418	1577	305
419	1581	301
420	1585	297
421	1589	293
422	1593	290
423	1596	286
424	1600	282
425	1603	278
426	1607	274
427	1611	271
428	1614	267
429	1618	263
430	1622	259
431	1625	255
432	1629	252
433	1632	248
434	1636	244
435	1640	240
436	1643	236
437	1647	233
438	1650	229
439	1654	225
440	1657	221
441	1661	217
442	1665	214
443	1669	210
444	1672	206
445	1676	203
446	1680	199
447	1683	195
448	1687	191
449	1691	187
450	1695	184
451	1699	180
452	1703	176
453	1708	173
454	1711	169
455	1715	165
456	1719	161
457	1723	158
458	1728	154
459	1735	150
460	1741	147
461	1748	143
462	1752	140
463	1758	136
464	1764	132
465	1770	129
466	1773	125
467	1777	121
468	1781	117
469	1784	113
470	1788	110
471	1791	106
472	1795	102
473	1799	98
474	1802	94
475	1806	91
476	1809	87
477	1813	83
478	1816	79
479	1820	75
480	1824	72
481	1828	68
482	1832	64
483	1836	60
484	1839	56
485	1842	53
486	1846	49
487	1849	45
488	1853	41
489	1856	37
490	1860	34
491	1863	30
492	1867	26
493	1871	22
494	1874	18
495	1878	15
496	1881	11
497	1885	7
498	1889	3
499	1892	0
