Hotel,Star,Rating,Reviews,Harga,Places Nearby,Facil + Akomod
Hotel Indonesia Kempinski Jakarta,5,8.9,4363,2.480.500,"Nearby Places

Jia Jia - Grand Indonesia (Delivery)
Fast Food
0 m

Grand Indonesia Shopping Mall
Shop & Gifts
80 m

Menara BCA
Business
140 m

Bundaran HI MRT Station
Transportation Hub
460 m
Popular in the Area

Gambir Station
Transportation Hub
2.31 km

Dunia Fantasi (Dufan)
Activity & Games
7.91 km

Ancol Dreamland 
Activity & Games
8.05 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
10.99 km","Food and Drinks
A la carte breakfast
A la carte dinner
A la carte lunch
Restaurant with AC
Bar
Breakfast
Breakfast and dinner
Breakfast and lunch
Buffet breakfast
Breakfast served to the table
Breakfast (surcharge)
Brunch
Buffet dinner
Buffet lunch
Continental breakfast
Early bird breakfast
Gluten-free meals
Hot breakfast
Poolside bar
Set menu dinner
Set menu lunch
Snack bar
Dietary menu
Vegetarian meal

Hotel Services
Bellhop
Concierge
Doorman
Express check-in
Express check-out
24-hour Receptionist
24-hour security
Laundry service
Luggage storage
Medical service
Multilingual staff
Wedding service

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Separate shower and tub
Shower
TV

Business Facilities
Business center
Business facilities
Computer station
Conference room
Meeting facilities
Photocopier
PRINTER
Projector

Nearby Facilities
ATM/Banking
Beauty salon
Gift shop
Grocery
Hair salon
Laundry
Shops
Supermarket

Public Facilities
Parking
Coffee shop
Elevator
24-hour room service
Restaurant
Room service
Safety deposit box
WiFi in public area

General
AC
Ballroom
Banquet
Connecting rooms
Non-smoking room
Swimming pool
Smoking area

Things to Do
Fitness center
Health club
Massage
Outdoor pool
Sauna
Spa

Accessibilty
Accessible bathroom
Accessible parking
Roll-in shower
Wheelchair accessible

Connectivity
INTERNATIONAL_CALL
Free WiFi
WiFi (surcharge)

Transportation
Car rental
Valet parking (surcharge)

Kids and Pets
CRIBS
Highchairs

Sports and Recreations
Fitness center

Shuttle Service
Airport transfer (surcharge)"
"The Langham, Jakarta",5,8.8,238,3.623.600,"Nearby Places

Pig Me Up! - Ashta District 8
Casual Dining
35 m

Grand Lucky Superstore
Shop & Gifts
65 m

Fairgrounds
Nightlife
116 m

The Energy Building
Business
152 m
Popular in the Area

Gambir Station
Transportation Hub
6.21 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
10.33 km

Dunia Fantasi (Dufan)
Activity & Games
11.69 km

Ancol Dreamland 
Activity & Games
11.90 km","Food and Drinks
A la carte dinner
A la carte lunch
Bar
Breakfast
Breakfast and dinner
Breakfast and lunch
Brunch
Cafe
Dining area
Set menu dinner
Set menu lunch
Show cooking restaurant

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Refrigerator
Separate shower and tub
Shower
TV

Hotel Services
Bellhop
Concierge
Doorman
Front desk
24-hour Receptionist
24-hour security
Laundry service
Luggage storage
Multilingual staff
Wedding service

Public Facilities
Coffee/tea in lobby
Coffee shop
Elevator
Restaurant
Breakfast restaurant
Dinner restaurant
Lunch restaurant
Safety deposit box
WiFi in public area

Things to Do
Fitness center
Health club
Indoor pool
Outdoor facilities
Outdoor pool
Sauna
Spa
Hot tub

Nearby Facilities
ATM/Banking
Gift shop
Grocery
Hair salon
Shops
Supermarket

General
AC
Ballroom
Banquet
Non-smoking room
Swimming pool

Business Facilities
Business center
Business facilities
Conference room
Meeting facilities
Photocopier

Transportation
Secure parking
Valet parking

Kids and Pets
CRIBS

Connectivity
Free WiFi

Sports and Recreations
Fitness center"
Manhattan Hotel,5,8.5,8405,1.250.000,"Nearby Places

Jia Jia - Grand Indonesia (Delivery)
Fast Food
0 m

Grand Indonesia Shopping Mall
Shop & Gifts
80 m

Menara BCA
Business
140 m

Bundaran HI MRT Station
Transportation Hub
460 m
Popular in the Area

Gambir Station
Transportation Hub
2.31 km

Dunia Fantasi (Dufan)
Activity & Games
7.91 km

Ancol Dreamland 
Activity & Games
8.05 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
10.99 km","Hotel Services
Bellhop
Concierge
Money changer
Doorman
Early Check-in
Front desk
24-hour Receptionist
24-hour security
Late check-out
Laundry service
Luggage storage
Medical service
Multilingual staff
Newspaper in lobby
Newspaper
Porter
Tours
Wedding service

Food and Drinks
A la carte dinner
A la carte lunch
Restaurant with AC
Bar
Breakfast
Buffet breakfast
Breakfast (surcharge)
Cafe
Continental breakfast
Dining area
Set menu dinner
Set menu lunch
Snacks
Vegetarian meal

Public Facilities
Parking
Coffee/tea in lobby
Coffee shop
Early check-in
Elevator
24-hour room service
Late check-out
Restaurant
Breakfast restaurant
Dinner restaurant
Lunch restaurant
Room service
Safety deposit box
WiFi in public area

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Refrigerator
Separate shower and tub
Shower
TV

Business Facilities
Business center
Business facilities
Computer station
Conference hostess
Conference room
Meeting facilities
Photocopier
PRINTER
Projector
Business centre

General
AC
Ballroom
Banquet
Connecting rooms
Family room
Non-smoking room
Swimming pool
Smoking area

Nearby Facilities
ATM/Banking
Beauty salon
Gift shop
Grocery
Hair salon
Laundry
Shops
Supermarket

Accessibilty
Disabled access friendly
Accessible bathroom
Accessible parking
Braille or raised signage
In-room accessibility
Wheelchair accessible

Transportation
Area shuttle
Parking with surcharge
Secure parking
Shopping center shuttle
Valet parking (surcharge)

Connectivity
INTERNATIONAL_CALL
LAN Internet (surcharge)
Free WiFi
WiFi (surcharge)

Things to Do
Fitness center
Outdoor pool

Sports and Recreations
Fitness center

Kids and Pets
Babysitting

Shuttle Service
Airport transfer (surcharge)"
Aloft South Jakarta,4,8.9,424,762.300,"Nearby Places

Southside Rooftop Bar & Lounge at Aloft South Jakarta
Casual Dining
1 m

Taman Ampera
Park & Zoo
76 m

Bank BCA KCP Cilandak Kko I
Business
258 m

RSUD Pasar Minggu
Public Service
496 m
Popular in the Area

Gambir Station
Transportation Hub
12.90 km

Dunia Fantasi (Dufan)
Activity & Games
18.61 km

Ancol Dreamland 
Activity & Games
18.68 km

Soekarno Hatta International Airport (CGK)
Transportation Hub
25.60 km","Public Facilities
Parking
Coffee shop
Elevator
Restaurant
Room service
Safety deposit box
WiFi in public area

Food and Drinks
Bar
Poolside bar
Bar

Things to Do
Fitness center
Garden
Outdoor pool

Hotel Services
24-hour Receptionist
Laundry service
Luggage storage

Transportation
Car rental

Accessibilty
Disabled access friendly

Business Facilities
Meeting facilities

Sports and Recreations
Billiard"
"The Mayflower, Jakarta - Marriott Executive Apartments",5,9,393,1.756.254,"Nearby Places

Sudirman Plaza
Business
2 m

The Cafe at Marriott Executive Apartments
Casual Dining
6 m

Setiabudi MRT Station
Transportation Hub
122 m

Citywalk Sudirman
Shop & Gifts
455 m
Popular in the Area

Gambir Station
Transportation Hub
3.62 km

Dunia Fantasi (Dufan)
Activity & Games
9.30 km

Ancol Dreamland 
Activity & Games
9.41 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
9.98 km","Food and Drinks
A la carte breakfast
A la carte dinner
A la carte lunch
Restaurant with AC
Breakfast
Breakfast and dinner
Breakfast and lunch
Buffet breakfast
Breakfast served to the table
Breakfast (surcharge)
Buffet lunch
Cafe
Continental breakfast
Dining area
Hot breakfast
Show cooking restaurant
Vegetarian meal

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
DVD player
Hairdryer
In-room safe
Kitchenette
Microwave
Minibar
Refrigerator
Separate shower and tub
Shower
TV

Hotel Services
Welcoming drinks
Concierge
Money changer
Doorman
Express check-in
Front desk
24-hour Receptionist
24-hour security
Laundry service
Luggage storage
Mobile
Multilingual staff
Newspaper in lobby

Public Facilities
Parking
Coffee shop
Elevator
24-hour room service
Restaurant
Breakfast restaurant
Dinner restaurant
Lunch restaurant
Room service
Safety deposit box
WiFi in public area

Things to Do
Fitness center
Health club
Hot tub
Indoor heated pool
Indoor pool
Massage
Sauna
Spa
Hot tub
Steam room

General
AC
Family room
Non-smoking room
Swimming pool
Smoking area
Smoke-free

Transportation
Airport transfer
Car rental
Secure parking
Valet parking (surcharge)

Nearby Facilities
ATM/Banking
Grocery
Shops
Supermarket

Business Facilities
Business center
Business centre

Kids and Pets
CRIBS
Highchairs

Family-friendly Facilities
Children pool

Sports and Recreations
Fitness center

Connectivity
Free WiFi

Shuttle Service
Airport transfer (surcharge)"
Merlynn Park Hotel,5,8.6,18892,820.000,"Nearby Places

Man Aur Tan at Merlynn Park Hotel
Casual Dining
23 m

Pusat Pertokoan Duta Merlin
Business
445 m

Harmoni Busway Station
Transportation Hub
552 m

Gajah Mada Plaza
Shop & Gifts
641 m
Popular in the Area

Gambir Station
Transportation Hub
2.06 km

Dunia Fantasi (Dufan)
Activity & Games
4.90 km

Ancol Dreamland 
Activity & Games
5.26 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
13.97 km","Hotel Services
Bellhop
Concierge
Money changer
Doorman
Early Check-in
24-hour Receptionist
24-hour security
Late check-out
Laundry service
Luggage storage
Multilingual staff
Newspaper in lobby
Newspaper
Porter
Tours
Wedding service

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Microwave
Minibar
Refrigerator
Separate shower and tub
Shower
TV

Public Facilities
Parking
Coffee/tea in lobby
Coffee shop
Early check-in
Elevator
24-hour room service
Late check-out
Restaurant
Room service
Safety deposit box
WiFi in public area

Food and Drinks
Restaurant with AC
Bar
Breakfast
Breakfast (surcharge)
Cafe
Continental breakfast
Fullboard with drinks
Snack bar
Snacks
Vegetarian meal

Business Facilities
Business center
Business facilities
Computer station
Conference hostess
Conference room
Meeting facilities
Photocopier
Projector
Business centre
Theatre/auditorium

General
AC
Ballroom
Banquet
Family room
Non-smoking room
Swimming pool
Smoking area

Things to Do
Fitness center
Health club
Indoor pool
Massage
Outdoor pool
Sauna
Spa

Accessibilty
Disabled access friendly
Accessible bathroom
Accessible parking
Braille or raised signage
In-room accessibility
Wheelchair accessible

Nearby Facilities
ATM/Banking
Beauty salon
Grocery
Hair salon
Shops
Supermarket

Transportation
Airport transfer
Parking with surcharge
Secure parking
Valet parking

Connectivity
Internet point
LAN Internet
LAN Internet (surcharge)
Free WiFi

Family-friendly Facilities
Children pool

Sports and Recreations
Fitness center

Kids and Pets
Babysitting

Shuttle Service
Airport transfer (surcharge)"
ASTON Priority Simatupang & Conference Center,4,8.6,7037,3.361.380,"Nearby Places

Canary Coffee Shop at Aston Priority Simatupang
Casual Dining
40 m

Arkadia Building
Business
165 m

AEON Mall Tanjung Barat
Shop & Gifts
802 m

Tanjung Barat Station
Transportation Hub
840 m
Popular in the Area

Gambir Station
Transportation Hub
13.89 km

Ancol Dreamland 
Activity & Games
19.58 km

Dunia Fantasi (Dufan)
Activity & Games
19.60 km

Soekarno Hatta International Airport (CGK)
Transportation Hub
27.79 km","Public Facilities
Parking
Coffee shop
Elevator
24-hour room service
Restaurant
Breakfast restaurant
Room service
WiFi in public area

In-room Facilities
Cable TV
Desk
In-room safe
Minibar
Shower
TV

General
AC
Ballroom
Non-smoking room
Swimming pool
Smoking area

Business Facilities
Business center
Conference room
Meeting facilities
Photocopier
PRINTER

Hotel Services
Concierge
24-hour Receptionist
24-hour security
Laundry service
Luggage storage

Food and Drinks
Restaurant with AC
Bar
Breakfast

Things to Do
Massage
Outdoor pool
Spa

Transportation
Airport transfer
Secure parking
Valet parking

Connectivity
LAN Internet
Free WiFi

Nearby Facilities
ATM/Banking"
Ascott Sudirman Jakarta,5,8.6,2126,4.344.540,"Nearby Places

DAON Dine & Coffee - Tokopedia Tower
Casual Dining
26 m

MRCCC Siloam Hospital
Public Service
395 m

Menara Mulia
Business
427 m

Lotte Shopping Avenue
Shop & Gifts
491 m
Popular in the Area

Gambir Station
Transportation Hub
5.14 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
9.34 km

Dunia Fantasi (Dufan)
Activity & Games
10.81 km

Ancol Dreamland 
Activity & Games
10.92 km","In-room Facilities
Bathrobe
Bathtub
Desk
Hairdryer
In-room safe
Microwave
Refrigerator
Shower
TV

General
AC
Family room
Non-smoking room
Swimming pool

Business Facilities
Business center
Business facilities
Meeting facilities
Photocopier

Hotel Services
Front desk
24-hour security
Multilingual staff
Newspaper in lobby

Things to Do
Fitness center
Indoor pool
Outdoor pool

Public Facilities
Restaurant
Safety deposit box
WiFi in public area

Food and Drinks
Breakfast

Transportation
Airport transfer

Connectivity
Free WiFi

Shuttle Service
Airport transfer (surcharge)

Nearby Facilities
Grocery

Sports and Recreations
Fitness center"
"The Hermitage, a Tribute Portfolio Hotel, Jakarta",5,8.9,365,5.504.291,"Nearby Places

Hermitage Lounge at The Hermitage Hotel
Casual Dining
4 m

Adam Malik Museum
Arts & Sciences
318 m

Cikini Station
Transportation Hub
365 m

Bank Mandiri Taman Ismail Marzuki
Business
778 m
Popular in the Area

Gambir Station
Transportation Hub
2.53 km

Ancol Dreamland 
Activity & Games
8.08 km

Dunia Fantasi (Dufan)
Activity & Games
8.13 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
9.60 km","Food and Drinks
A la carte breakfast
A la carte dinner
A la carte lunch
Restaurant with AC
Bar
Breakfast
Breakfast and dinner
Breakfast and lunch
Buffet breakfast
Breakfast served to the table
Brunch
Dining area
Poolside bar
Set menu dinner
Snacks

General
AC
Ballroom
Banquet
Connecting rooms
Family room
Heater
Non-smoking room
Swimming pool
Rooftop terrace
Smoking area

Public Facilities
Parking
Elevator
24-hour room service
Restaurant
Breakfast restaurant
Dinner restaurant
Lunch restaurant
Room service
Safety deposit box
WiFi in public area

Hotel Services
Bellhop
Concierge
Doorman
24-hour Receptionist
24-hour security
Laundry service
Luggage storage
Newspaper in lobby
Porter
Wedding service

In-room Facilities
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Refrigerator
Shower
TV

Things to Do
Beach towel
Fitness center
Karaoke
Massage
Outdoor pool
Spa

Business Facilities
Business center
Business facilities
Meeting facilities
Photocopier
PRINTER

Transportation
Airport transfer
Valet parking

Connectivity
LAN Internet
Free WiFi

Shuttle Service
Airport transfer (surcharge)
Airport transfer

Kids and Pets
CRIBS"
The Ritz-Carlton Mega Kuningan,5,8.8,2860,5.692.687,"Nearby Places

Lobo Italian Bistro at The Ritz-Carlton Jakarta Mega Kuningan (Delivery)
Fine Dining
11 m

Menara BTPN
Business
147 m

Mega Kuningan
Shop & Gifts
210 m

Halte Busway Patra Kuningan
Transportation Hub
699 m
Popular in the Area

Gambir Station
Transportation Hub
5.78 km

Halim Perdanakusuma International Airport (HLP)
Transportation Hub
8.23 km

Dunia Fantasi (Dufan)
Activity & Games
11.50 km

Ancol Dreamland 
Activity & Games
11.55 km","Food and Drinks
A la carte breakfast
A la carte dinner
A la carte lunch
Restaurant with AC
Bar
Breakfast
Breakfast and dinner
Breakfast and lunch
Buffet breakfast
Breakfast served to the table
Breakfast (surcharge)
Brunch
Buffet dinner
Buffet lunch
Cafe
Continental breakfast
Dining area
Early bird breakfast
Hot breakfast
Bar
Set menu dinner
Set menu lunch
Show cooking restaurant
Snack bar
Dietary menu
Vegetarian meal

Hotel Services
Bellhop
Welcoming drinks
Concierge
Money changer
Doorman
Express check-in
Express check-out
Front desk
24-hour security
Laundry service
Luggage storage
Mobile
Multilingual staff
Newspaper in lobby
Porter
Wedding service
24-hour Receptionist

Things to Do
Children play area
Fitness center
Garden
Health club
Hot tub
Karaoke
Library
Massage
Outdoor pool
Pool sun loungers
Sauna
Spa
Hot tub
Sauna
Steam room
TV lounge

General
AC
Ballroom
Banquet
Connecting rooms
Family room
Heater
Non-smoking room
Swimming pool
Recreation room
Smoking area
Terrace

Public Facilities
Parking
Coffee shop
Elevator
24-hour room service
Restaurant
Breakfast restaurant
Dinner restaurant
Lunch restaurant
Room service
Safety deposit box
WiFi in public area

In-room Facilities
Bathrobe
Bathtub
Cable TV
Desk
Hairdryer
In-room safe
Minibar
Refrigerator
Separate shower and tub
Shower
TV

Business Facilities
Business center
Business facilities
Computer station
Conference hostess
Conference room
Meeting facilities
Photocopier
Projector
Business centre

Accessibilty
Disabled access friendly
Accessibility equipment
Accessible bathroom
Accessible parking
Accessible path of travel
In-room accessibility
Roll-in shower
Wheelchair accessible

Nearby Facilities
ATM/Banking
Beauty salon
Gift shop
Grocery
Hair salon
Laundry
Shops
Supermarket

Transportation
Airport transfer
Area shuttle
Limo or town car service
Secure parking
Shopping center shuttle
Valet parking
Valet parking (surcharge)

Sports and Recreations
Billiard
Darts
Fitness center
Table tennis

Family-friendly Facilities
Kids club
Children pool

Kids and Pets
Babysitting with surcharge
Highchairs

Connectivity
LAN Internet (surcharge)
Free WiFi

Shuttle Service
Airport transfer (surcharge)"
